"class","layer_name_en","layer_name_ua","layer_description","geometry_type","attribute_name_en","attribute_name_ua","attribute_description","attribute_type","attribute_len","attribute_default_value","attribute_required","attribute_unique","domain","attribute_is_id"
"mkip","archeolog_protect_ter","Охоронювані археологічні території","Топографічно визначені території чи водні об'єкти, в яких містяться об'єкти культурної спадщини або можлива їх наявність, оголошені охоронюваними археологічними територіями на обмежений або необмежений строк","Polygon","res_code","код обмеження","Код обмеження щодо використання земель та земельних ділянок згідно з Порядком ведення Державного земельного кадастру, затвердженим постановою Кабінету Міністрів України від 17 жовтня 2012 року № 1051","text",10," 06.06.3","True","False",,"False"
"mkip","archeolog_protect_ter","Охоронювані археологічні території","Топографічно визначені території чи водні об'єкти, в яких містяться об'єкти культурної спадщини або можлива їх наявність, оголошені охоронюваними археологічними територіями на обмежений або необмежений строк","Polygon","sol_name","номер рішення про оголошення","Номер рішення про оголошення території чи водного об'єкта охоронюваною археологічною територією","text",20,,"False","False",,"False"
"mkip","archeolog_protect_ter","Охоронювані археологічні території","Топографічно визначені території чи водні об'єкти, в яких містяться об'єкти культурної спадщини або можлива їх наявність, оголошені охоронюваними археологічними територіями на обмежений або необмежений строк","Polygon","sol_date","дата  рішення про оголошення","Дата прийняття рішення про оголошення території чи водного об'єкта охоронюваною археологічною територією","Date",,,"False","False",,"False"
"mkip","archeolog_protect_ter","Охоронювані археологічні території","Топографічно визначені території чи водні об'єкти, в яких містяться об'єкти культурної спадщини або можлива їх наявність, оголошені охоронюваними археологічними територіями на обмежений або необмежений строк","Polygon","sol_auth","орган, що прийняв рішення про оголошення","Орган, що прийняв рішення про оголошення території чи водного об'єкта охоронюваною археологічною територією","text",255,,"False","False",,"False"
"mkip","archeolog_protect_ter","Охоронювані археологічні території","Топографічно визначені території чи водні об'єкти, в яких містяться об'єкти культурної спадщини або можлива їх наявність, оголошені охоронюваними археологічними територіями на обмежений або необмежений строк","Polygon","name","назва","Назва охоронюваної археологічної території ","text",500,,"True","False",,"False"
"mkip","archeolog_protect_ter","Охоронювані археологічні території","Топографічно визначені території чи водні об'єкти, в яких містяться об'єкти культурної спадщини або можлива їх наявність, оголошені охоронюваними археологічними територіями на обмежений або необмежений строк","Polygon","num","номер","Номер охоронюваної археологічної території ","text",20,,"False","False",,"False"
"mkip","archeolog_protect_ter","Охоронювані археологічні території","Топографічно визначені території чи водні об'єкти, в яких містяться об'єкти культурної спадщини або можлива їх наявність, оголошені охоронюваними археологічними територіями на обмежений або необмежений строк","Polygon","mega","опис меж","Опис меж охоронюваної археологічної території згідно з науково-проектною документацією","text",,,"True","False",,"False"
"mkip","archeolog_protect_ter","Охоронювані археологічні території","Топографічно визначені території чи водні об'єкти, в яких містяться об'єкти культурної спадщини або можлива їх наявність, оголошені охоронюваними археологічними територіями на обмежений або необмежений строк","Polygon","regime","режими використання","Режими використання охоронюваної археологічної території згідно з науково-проектною документацією","text",,,"True","False",,"False"
"mkip","archeolog_protect_ter","Охоронювані археологічні території","Топографічно визначені території чи водні об'єкти, в яких містяться об'єкти культурної спадщини або можлива їх наявність, оголошені охоронюваними археологічними територіями на обмежений або необмежений строк","Polygon","restr_access","обмежений доступ","Віднесено до інформації з обмеженим доступом","boolean",,БРЕХНЯ,"True","False","true - так; false - ні","False"
"mkip","archeolog_protect_ter","Охоронювані археологічні території","Топографічно визначені території чи водні об'єкти, в яких містяться об'єкти культурної спадщини або можлива їх наявність, оголошені охоронюваними археологічними територіями на обмежений або необмежений строк","Polygon","area","площа, га","Площа охоронюваної археологічної території в гектарах (га)","double",,,"True","False",,"False"
